hospital_name,name,rating,review
Siloam Hospitals Semarang,Eko Charnius Ilman (Eko),5.0,"It is not a big hospital but cares with your safety. It is not crowded at all which is why we choose this hospital to avoid Covid19 spreading. It is super clean since they claimed to clean most of stuff (i.e. chair) every three hours. The lift has been equipped with untouch button. However, it is better if they can improve their doors to be untouch/automatic doors as well to make it even more perfect experience. It provide quick service for a new patient as we are in holiday in this city. Hand sanitiser can be found everywhere which is good, even at some corner it is empty. Moreover, before entering the hospital, you should fill and pass their online Covid-19 screening. They will give you sticker , to be sticked on your clothes (green or yellow) depending on your risk ranking."
Siloam Hospitals Semarang,Theodora Rini,5.0,"This place is superb among other hospitals in Semarang! I have never experienced such great hospitality in the hospital before. The medical staffs were friendly and professional. Super clean and didn’t have any ‘hospital’ smell alike. So convenient with the care I got from Siloam. The doctor explained my medical problem clearly with the most suitable solution for my condition. After one day, they contacted me asking for my condition after consuming the medical prescription from Siloam, just to confirm whether I’m getting better or not. For the price I’ve paid, it’s not as expensive as I thought. Really satisfied with the care I got from Siloam. Thank you!"
Siloam Hospitals Semarang,Baskara Widhi,2.0,"I'm glad that this clinic have 24 hours services, but it takes so long just for doing antigen test. It got me almost 1 hour waiting time"
Siloam Hospitals Semarang,Irfan Murtadho,3.0,"Well organised Hospitals in Semarang, with several expertise doctors offered also. Supported by alodoctor if u need any assistant to book and see the doctors. However the facility and accomodation is not enough as like a parking lot, or queu rooms. Need to be improved"
Siloam Hospitals Semarang,MsErynn8,5.0,My husband needed to flight out and thus required Covid19 pcr test urgently.We got it less than 24 hrs!Plz do come between 6-7 am(open everyday )and no appointment is needed otherwise.N get ur results in ur WA or email!!Thumbs up to the service given..To those who still hv some questions plz do download their app or go to their website -C19 Gold Package (look in the website or app for recent price)Thank you!
Siloam Hospitals Semarang,Sinta Ratna Dewayani,2.0,"I made appointment for my mum to see an internist on 8 Feb evening (19.00-21.00). My mum has had trouble with her urination and we are looking for a second opinion, as the internist at the Dr. Suwondo Hospital in Kendal didn't give any satisfying advice. The appointment was confirmed almost immediately, the front staff and nurses were very friendly. However, it turned out the doctor was not able to come in the end, due to his family matters. What a big disappointment since we'd come a rather long way from Kendal to Semarang. Hopefully it was not because my mum was the only patient that evening. The nurses offered us to see a general practicioner instead. But no thanks...we're already disappointed. Doctors, please be more considerate in the future."
Siloam Hospitals Semarang,janet ariella,5.0,"Doctors are very friendly towards the patients. All the staffs coordinate very well. Hospital was clean and tidy. All of them was so helpful in our need. Last but not least, the Director is very kind. 😉👍"
Siloam Hospitals Semarang,Ilham Akbar,5.0,I'm doing rapid antigen monthly here.
Siloam Hospitals Semarang,Mas AD,5.0,"I like the hospital, it's well organized, clean, good equipments, personnels are nice and friendly, acting profitional, besides Drs and nurses are good, listening and helping well. To be honest I trust them and doing all my check-ups in this hospital"
Siloam Hospitals Semarang,MABC,5.0,"Hats off to the service, people are so kind, the staff, doctors and everyone there. Everyone there was so helpful throughout the day. Please continue the service. Thank you :)"
Siloam Hospitals Semarang,Afiefah El-Shoim,5.0,Service excellence!❤️
Siloam Hospitals Semarang,Teguh Bawa,4.0,Good
Siloam Hospitals Semarang,octdy hendrawan,5.0,Compact hospital with complete facility
Siloam Hospitals Semarang,Gunawan Tan,5.0,GoodSip lah
Siloam Hospitals Semarang,arfin triatmodjo,5.0,Love it...
Siloam Hospitals Semarang,arifoye,4.0,(Translated by Google) Can the eye exam come right away or do I have to make an appointment/register first (Original) apakah periksa mata bisa langsung datang ato harus buat janji/daftar dulu
Siloam Hospitals Semarang,Edhich Channel,5.0,"(Translated by Google) Very good service, friendly and okay facilities. My child is cared for here comfortable and clean. Nurses and doctors are fast and friendly. The food is also delicious/nutritious. Thank you Siloam. (Original) Pelayanan bagus banget, ramah dan fasilitas oke. Anak saya di rawat di sini nyaman dan bersih. Suster dan dokter cepat dan ramah. Makanannya juga enak / bergizi. Terima kasih Siloam."
Siloam Hospitals Semarang,Hey GD!,4.0,"(Translated by Google) In my opinion, Siloam Hospital's services are good, because it makes it easy for customers to help carry out Rapid Tests, both antigens and 24-hour swabs. Because it makes it easier for customers when they have to complete the terms and conditions to take transportation either by plane or train with a note that they have enough time so that when the results come out, customers can still enjoy traveling by plane or train calmly and safely without experiencing delays. Maybe some services need to be reworked, especially since this is a big hospital, starting from the front desk, security, and other services to become an evaluation material for improvements, so that customers have more confidence and give good and positive reviews in the future. In order to improve the service excellence (Original) Menurut saya services RS Siloam baik, karena memberi kemudaham bagi customer dalam membantu untuk melakukan Rapid Test baik itu antigen maupun swab 24 jam. Karena memudahkan customer ketika harus melengkapi syarat dan ketentuan utk naik transportasi baik Pesawat maupun Kereta Api dg catatan memiliki waktu cukup sehingga saat hasil keluar, customer tetap bisa menikmati perjalanan dg pesawat maupun Kereta Api dg tenang dan aman tanpa mengalami keterlambatan. Mungkin beberapa pelayanan perlu dibenahi kembali apalagi ini RS besar, mulai dari front desk, security, dan layanan lainnya utk menjadi bahan evaluasi perbaikan, agar customer lebih percaya dan memberikan ulasan yg baik dan positif kedepannya. Agar ditingkatkan lagi Service Excellentnya"
